name,hex,pinyin
绾,#A98175,wan
檀,#B36D61,tan
栗色,#60281E,lise
玄,#622A1D,xuan
胭脂,#9D2933,yanzhi
殷红,#BE002F,yinhong
枣红,#C32136,zaohong
赤,#C3272B,chi
绯红,#C83C23,feihong
赫赤,#C91F37,hechi
樱桃红,#C93756,yingtaohong
茜色,#CB3A56,qianse
海棠红,#DB5A6B,haitanghong
酡红,#DC3023,tuohong
妃色,#ED5736,feise
嫣红,#EF7A82,yanhong
品红,#F00056,pinhong
石榴红,#F20C00,shiliuhong
银红,#F05654,yinhong
彤,#F35336,tong
桃红,#F47983,taohong
酡颜,#F9906F,tuoyan
洋红,#FF0097,yanghong
大红,#FF2121,dahong
火红,#FF2D51,huohong
炎,#FF3300,yan
朱红,#FF4C00,zhuhong
丹,#FF4E20,dan
粉红,#FFB3A7,fenhong
藕荷,#E4C6D0,ouhe
藕,#EDD1D8,ou
水红,#F3D3E7,shuihong
鱼肚白,#FCEFE8,yudubai
褐色,#6E511E,hese
棕黑,#7C4B00,zonghei
赭色,#955539,zhese
棕红,#9B4400,zonghong
赭,#9C5333,zhe
驼色,#A88462,tuose
棕色,#B25D25,zongse
茶色,#B35C44,chase
琥珀,#CA6924,hupo
黄栌,#E29C45,huanglu
橙色,#FA8C35,chengse
橘红,#FF7500,juhong
橘黄,#FF8936,juhuang
杏红,#FF8C31,xinghong
橙黄,#FFA400,chenghuang
杏黄,#FFA631,xinghuang
姜黄,#FFC773,jianghuang
黧,#5D513C,li
黎,#75664D,li
棕绿,#827100,zonglv
秋色,#896C39,qiuse
苍黄,#A29B7C,canghuang
乌金,#A78E44,wujin
棕黄,#AE7000,zonghuang
昏黄,#C89B40,hunhuang
枯黄,#D3B17D,kuhuang
秋香色,#D9B611,qiuxiangse
金,#EACD76,jin
牙,#EEDEB0,ya
缃色,#F0C239,xiangse
赤金,#F2BE45,chijin
鸭黄,#FAFF72,yahuang
鹅黄,#FFF143,ehuang
缟,#F2ECDE,gao
象牙白,#FFFBF0,xiangyabai
竹青,#789262,zhuqing
黯,#41555D,an
黛绿,#426666,dailv
松花绿,#057748,songhualv
绿沈,#0C8918,lvshen
深绿,#009900,shenlv
青葱,#0AA344,qingcong
铜绿,#549688,tonglv
苍翠,#519A73,cangcui
松柏绿,#21A675,songbailv
葱青,#0EB83A,congqing
油绿,#00BC12,youlv
绿,#00E500,lv
草绿,#40DE5A,caolv
豆青,#96CE54,douqing
豆绿,#9ED048,doulv
葱绿,#9ED900,conglv
葱黄,#A3D900,conghuang
柳绿,#AFDD22,liulv
嫩绿,#BDDD22,nenlv
柳黄,#C9DD22,liuhuang
松花,#BCE672,songhua
樱草色,#EAFF56,yingcaose
水,#88ADA6,shui
青碧,#48C0A3,qingbi
碧,#1BD1A5,bi
石青,#7BCFA6,shiqing
青翠,#00E079,qingcui
青,#00E09E,qing
碧绿,#2ADD9C,bilv
玉,#2EDFA3,yu
翡翠,#3DE1AD,feicui
缥,#7FECAD,piao
碧蓝,#3EEDE7,bilan
湖绿,#25F8CD,hulv
艾绿,#A4E2C6,ailv
青白,#C0EBD7,qingbai
水绿,#D4F2E7,shuilv
鸭卵青,#E0EEE8,yaluanqing
素,#E0F0E9,su
荼白,#F3F9F1,tubai
藏蓝,#3B2E7E,canglan
宝蓝,#4B5CC4,baolan
绀青,#003371,ganqing
藏青,#2E4E7E,cangqing
靛蓝,#065279,dianlan
靛青,#177CB0,dianqing
群青,#4C8DAE,qunqing
蓝,#44CEF6,lan
湖蓝,#30DFF3,hulan
蔚蓝,#70F3FF,weilan
月白,#D6ECF0,yuebai
水蓝,#D2F0F4,shuilan
莹白,#E3F9FD,yingbai
雪白,#F0FCFF,xuebai
黛,#4A4266,dai
紫檀,#4C211B,zitan
紫棠,#56004F,zitang
黛紫,#574266,daizi
绛紫,#8C4356,jiangzi
紫酱,#815463,zijiang
酱紫,#815476,jiangzi
黝,#6B6882,you
青莲,#801DAE,qinglian
紫,#8D4BBB,zi
雪青,#B0A4E3,xueqing
丁香,#CCA4E3,dingxiang
黑,#000000,hei
漆黑,#161823,qihei
象牙黑,#312520,xiangyahei
乌黑,#392F41,wuhei
玄青,#3D3B4F,xuanqing
缁,#493131,zi
黝黑,#665757,youhei
鸦青,#424C50,yaqing
黛蓝,#425066,dailan
苍黑,#395260,canghei
墨,#50616D,mo
灰,#808080,hui
苍,#75878A,cang
墨灰,#758A99,mohui
苍青,#7397AB,cangqing
蓝灰,#A1AFC9,lanhui
老银,#BACAC6,laoyin
蟹壳青,#BBCDC5,xiekeqing
苍白,#D1D9E0,cangbai
淡青,#D3E0F3,danqing
银白,#E9E7EF,yinbai
霜,#E9F1F6,shuang
铅白,#F0F0F4,qianbai
精白,#FFFFFF,jingbai
